41,Paul Mitchell XTERRA Marathon Of Trail RacesXTERRA Marathon Of Trail Races Results,10/8/2017,Colorado Springs,CO
42,Appalachian Series - TNAppalachian Series - TN Results,10/9/2017,Bristol,TN
43,Appalachian Series - NCAppalachian Series - NC Results,10/10/2017,Morganton,NC
44,Appalachian Series - SCAppalachian Series - SC Results,10/11/2017,Seneca,SC
45,Appalachian Series - GAAppalachian Series - GA NewsAppalachian Series - GA Results,10/12/2017,Unicoi State Park,GA
46,Lakeside MarathonLakeside Marathon CommentsLakeside Marathon Results,10/13/2017,Lake Tahoe,CA
47,Arkansas MarathonArkansas Marathon CommentsArkansas Marathon NewsArkansas Marathon Results,10/14/2017,Booneville,AR
48,Bemidji Blue Ox MarathonBemidji Blue Ox Marathon CommentsBemidji Blue Ox Marathon NewsBemidji Blue Ox Marathon Results,10/14/2017,Bemidji,MN
49,Cal-Neva MarathonCal-Neva Marathon Results,10/14/2017,Lake Tahoe,CA
50,Cannonball MarathonCannonball Marathon Results,10/14/2017,Greensboro,NC
51,Des Plaines River Trail MarathonDes Plaines River Trail Marathon CommentsDes Plaines River Trail Marathon Results,10/14/2017,Lake County Forest Preserves,IL
52,Dog Lake MarathonDog Lake Marathon Results,10/14/2017,Naches,WA
53,Escalante Canyons MarathonEscalante Canyons Marathon CommentsEscalante Canyons Marathon Results,10/14/2017,Escalante,UT
54,Fort Steilacoom Trail RunFort Steilacoom Trail Run Results,10/14/2017,Lakewood,WA
55,Eversource Hartford MarathonHartford Marathon CommentsHartford Marathon NewsHartford Marathon Results,10/14/2017,Hartford,CT
56,Tessendorf Family Chiropractic Hayden Lake MarathonHayden Lake Marathon Results,10/14/2017,Hayden,ID
57,First National Bank Layton MarathonLayton Marathon CommentsLayton Marathon NewsLayton Marathon Results,10/14/2017,Layton,UT
58,CenturyLink WhistleStop MarathonWhistleStop Marathon CommentsWhistleStop Marathon NewsWhistleStop Marathon Results,10/14/2017,Ashland,WI
59,Nationwide Children's Hospital Columbus MarathonColumbus Marathon CommentsColumbus Marathon NewsColumbus Marathon Results,10/15/2017,Columbus,OH
60,IMT Insurance Des Moines MarathonDes Moines Marathon CommentsDes Moines Marathon NewsDes Moines Marathon Results,10/15/2017,Des Moines,IA
61,Detroit Free Press/Chemical Bank Detroit International MarathonDetroit International Marathon CommentsDetroit International Marathon NewsDetroit International Marathon Results,10/15/2017,Detroit,MI
